audit_label	audit_reasons	case_id	transition	old_state	new_state	proposition_text	mention_text	mention_label	evidence_text
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	28353558	ruled_out	not_mentioned	ruled_out	patient has negative	negative	Lab_value	During the month preceding retransplantation, 4 sputum specimens remained negative for acid-fast bacilli and specific M.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25370695	introduced	not_mentioned	confirmed	patient has panoramic	panoramic	Detailed_description	Full mouth dental X-rays and a panoramic radiograph were taken and showed relatively well-defined radiolucent lesions in multiple regions of the mandible bilaterally, with a pseudocystic (multilocular) appearance; cone-beam computed tomography confirmed these findings and revealed a large lytic lesion of her left posterior mandible in the region of her chief complaint (Figure 1).
good	evidence_contains_improving_cue;improvement_cue_present	18561524	improving	not_mentioned	improving	patient has deteriorated	deteriorated	Lab_value	His liver function improved slightly, but despite dialysis the renal function deteriorated with increasing creatinine values.
good	evidence_contains_treated_cue;treatment_cue_present	24518095	treated	not_mentioned	treated	patient has symptomatic improvement	symptomatic improvement	Sign_symptom	The patient then received crizotinib (250 mg twice daily) as third-line therapy in May 2013 with an impressive symptomatic improvement and CT response after 1 month of therapy (Fig.
bad_proposition	empty_or_too_short_proposition;very_short_single_token;evidence_contains_resolved_cue;resolution_cue_present	28403099	resolved	not_mentioned	resolved	patient has MR	MR	Diagnostic_procedure	After the following 1 month, substance phase MR revealed low-intensity signal of tumor necrosis with resolution of his problems (Fig.
bad_proposition	empty_or_too_short_proposition;very_short_single_token;introduced_from_not_mentioned	21923918	introduced	not_mentioned	confirmed	patient has G3	G3	Lab_value	Pathological examination of the surgical specimen confirmed the biopsy diagnosis of poorly differentiated (G3) SCC.
ambiguous	no_clear_transition_cue	27773410	no_change	improving	improving	patient has Echocardiography	Echocardiography	Diagnostic_procedure	Echocardiography on 4th POD revealed improvement in LVEF to 30% (Table 1).
good	evidence_contains_resolved_cue;resolution_cue_present	28353556	resolved	not_mentioned	resolved	patient has partial improvement	partial improvement	Lab_value	Treatment with high-dose methylprednisolone (1 g daily for 3 consecutive days) and rituximab (375 mg/m2 weekly for 4 weeks) was started with rapid resolution of urologic and pulmonary involvement but delayed and partial improvement of renal function.
good	evidence_contains_improving_cue;improvement_cue_present	21672201	improving	not_mentioned	improving	patient has exposure	exposure	Therapeutic_procedure	A preliminary incision out from the hole improved exposure for the definitive excision.
ambiguous	evidence_contains_introduced_cue;introduced_from_not_mentioned;introduced_but_treatment_cue_present	28090049	introduced	not_mentioned	confirmed	patient has DKA	DKA	Disease_disorder	Accordingly, she was diagnosed with DKA and thyroid storm and admitted to the medical intensive care unit for further monitoring and treatment.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	28250304	introduced	not_mentioned	confirmed	patient has metastasis	metastasis	Sign_symptom	A 44-year-old man had been diagnosed with LCNEC of the thymus with bone metastasis at a different hospital 3 years previously.
good	introduced_default_plausible	25759562	introduced	confirmed	suspected	patient has obstruction	obstruction	Sign_symptom	Although the patient had no ascites or variceal bleeding, the decision was made to create a TIPS to relieve hepatic venous outflow obstruction because of increasing pain and concern for complications due to aneurysm size; direct approach to the aneurysm was not considered due to risk of associated complications in the setting of portal hypertension, and stent-grafting was not considered due to concerns about patency in the settings of hepatic venous outflow obstruction and underlying thrombophilia.
good	introduced_from_not_mentioned	28120581	introduced	not_mentioned	confirmed	patient has LCCA ostium	LCCA ostium	Biological_structure	Intravascular ultrasound also confirmed the severe compromise of the LCCA ostium which was caused by the graft stent (Fig.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	26313770	ruled_out	not_mentioned	ruled_out	patient has anti-cardiolipin IgG	anti-cardiolipin IgG	Diagnostic_procedure	Concomitant autoimmune connective tissue diseases such as systemic lupus erythematosus or cryoglobulinemia were excluded due to negative anti-nuclear antibody and cryoglobulin except for positive anti-cardiolipin IgG (116 GPL, normal range <20 GPL) and anti-phospholipid IgG (165 U, normal range <15 U).
good	introduced_from_not_mentioned	28272214	introduced	not_mentioned	possible	patient has three-dimensional conformal radiotherapy	three-dimensional conformal radiotherapy	Therapeutic_procedure	To relieve the acute pain in the left pleura as quickly as possible, palliative three-dimensional conformal radiotherapy (3D-CRT) for the chest lesion was delivered at a total dose of 42 Gy/14 fractions (f), once daily and 5f/week (Fig.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25721834	introduced	not_mentioned	confirmed	patient has aspirate	aspirate	Diagnostic_procedure	A bone marrow aspirate and biopsy revealed a hypercellular marrow with erythroid hyperplasia.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	17803823	introduced	not_mentioned	supported	patient has necrosis	necrosis	Sign_symptom	A skin biopsy from the ankle revealed a perivascular lymphohistiocytic infiltrate with prominent neutrophils and associated fibrinoid necrosis of vessels consistent with 'leukocytoclastic' vasculitis.
good	evidence_contains_treated_cue;treatment_cue_present	28403099	treated	not_mentioned	treated	patient has chronic HBV-related cirrhosis for 30 years	chronic HBV-related cirrhosis for 30 years	History	The patient with unresectable masses had hypertension over 10 years and chronic HBV-related cirrhosis for 30 years when he was treated with lamivudine 100 mg qd, and adefovir dipivoxil 10 mg qd for 6 years.
good	evidence_contains_treated_cue;treatment_cue_present	28202865	treated	confirmed	treated	patient has at that time	at that time	Date	A further detailed inquiry regarding the patient's medical history revealed that, as an elementary school student, he had been hospitalized and had received blood transfusions twice following abnormally heavy bleeding after tooth extraction; however, a specific congenital bleeding disorder had not been diagnosed at that time.
bad_proposition	likely_contextual_nonclinical_proposition;evidence_contains_treated_cue;treatment_cue_present	22791498	treated	not_mentioned	treated	patient has 8 months	8 months	Duration	He was treated with octreotide long-acting-release (LAR) for 8 months.
good	evidence_contains_recurrent_cue;recurrence_cue_present	24957905	recurrent	not_mentioned	recurrent	patient has ischemia	ischemia	Sign_symptom	The oncology department advised further testing to rule out ischemia as a cause of CMP as, in their opinion, chemotherapy with gemcitabine was the only option to reduce the risk of recurrence in this patient.
good	evidence_contains_recurrent_cue;recurrence_cue_present	22520024	recurrent	not_mentioned	recurrent	patient has recurrence	recurrence	Sign_symptom	The postoperative course was uncomplicated, and the patient has demonstrated no recurrence up to 30 months from this resection.
good	introduced_from_not_mentioned	25759562	introduced	not_mentioned	suspected	patient has hepatic venous	hepatic venous	Biological_structure	Although the patient had no ascites or variceal bleeding, the decision was made to create a TIPS to relieve hepatic venous outflow obstruction because of increasing pain and concern for complications due to aneurysm size; direct approach to the aneurysm was not considered due to risk of associated complications in the setting of portal hypertension, and stent-grafting was not considered due to concerns about patency in the settings of hepatic venous outflow obstruction and underlying thrombophilia.
good	evidence_contains_treated_cue;treatment_cue_present	24957905	treated	not_mentioned	treated	patient has angiotensin-converting enzyme inhibitor	angiotensin-converting enzyme inhibitor	Medication	Our patient was then started on carvedilol and an angiotensin-converting enzyme inhibitor in addition to diuretics and he was discharged from the hospital two days later in a euvolemic state.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	23897372	introduced	not_mentioned	supported	patient has normal	normal	Lab_value	Subsequently, cardiac MRI demonstrated early and diffuse subendocardial delayed enhancement, concerning for infiltrative myocardial disease and for diffuse biventricular hypertrophy, with normal ejection fraction (figure 3).
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	28121940	introduced	not_mentioned	confirmed	patient has pulmonary embolism	pulmonary embolism	History	A 68-year-old female smoker with a history of pulmonary embolism and diabetes mellitus was diagnosed with Stage IIIB (T4N2M0) squamous NSCLC.
good	evidence_contains_treated_cue;treatment_cue_present	22781096	treated	not_mentioned	treated	patient has epileptic seizure	epileptic seizure	Sign_symptom	At 15 years of age, he had an unprovoked epileptic seizure and he has since then been treated with levetiracetam.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	27821134	introduced	not_mentioned	confirmed	patient has 59-year-old	59-year-old	Age	The patient is a 59-year-old man diagnosed with PD at the age of 49 years.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	27842605	introduced	not_mentioned	supported	patient has mitotic count	mitotic count	Diagnostic_procedure	The mitotic count was 24 per 10 high-power microscopic fields, and the Ki-67 proliferation index was 70–80%, consistent with NEC.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	17803823	introduced	not_mentioned	supported	patient has biopsy	biopsy	Diagnostic_procedure	A skin biopsy from the ankle revealed a perivascular lymphohistiocytic infiltrate with prominent neutrophils and associated fibrinoid necrosis of vessels consistent with 'leukocytoclastic' vasculitis.
good	evidence_contains_recurrent_cue;recurrence_cue_present	27904130	recurrent	not_mentioned	recurrent	patient has recurrence	recurrence	Sign_symptom	As of the writing of this report, the patient has remained free of recurrence for 13 months after the second surgery, and has also been carefully followed up.
good	introduced_from_not_mentioned	26309459	introduced	not_mentioned	confirmed	patient has Cerebral	Cerebral	Biological_structure	Cerebral angiography confirmed a dissecting aneurysm of an anastomotic branch between left PICA and the V4 segment of left vertebral artery Figure 2 that was successfully embolized.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	20977862	introduced	not_mentioned	suspected	patient has Cognard II DVAF	Cognard II DVAF	Disease_disorder	A DVAF was considered, conventional digital subtraction angiography was performed, which showed a Cognard II DVAF in the location of right hypoglossal canal (HC).
good	evidence_contains_resolved_cue;resolution_cue_present	28353556	resolved	not_mentioned	resolved	patient has involvement	involvement	Sign_symptom	Treatment with high-dose methylprednisolone (1 g daily for 3 consecutive days) and rituximab (375 mg/m2 weekly for 4 weeks) was started with rapid resolution of urologic and pulmonary involvement but delayed and partial improvement of renal function.
good	evidence_contains_improving_cue;improvement_cue_present	28321071	improving	not_mentioned	improving	patient has improved	improved	Lab_value	Four days after admission, her respiratory condition was improved.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	28353556	introduced	not_mentioned	confirmed	patient has GPA	GPA	Disease_disorder	9 U/mL) were consistent with the diagnosis of GPA.
bad_proposition	empty_or_too_short_proposition;very_short_single_token;evidence_contains_introduced_cue;introduced_from_not_mentioned	28216610	introduced	not_mentioned	confirmed	patient has KS	KS	Disease_disorder	Pathology showed spindle cells positive for CD34, BCL2, vimentin, and HHV-8 with diffuse positivity for CD31 diagnostic of KS.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	27064109	introduced	not_mentioned	confirmed	patient has infiltration	infiltration	Sign_symptom	Skin biopsy revealed hyperkeratosis in the epidermis and mild inflammatory changes throughout the dermis with an infiltration of lymphocytes.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	23035161	ruled_out	not_mentioned	ruled_out	patient has tabetic crises	tabetic crises	Disease_disorder	The negative cardiolipin test excluded tabetic crises.
good	introduced_from_not_mentioned	26361640	introduced	not_mentioned	supported	patient has Endoscopic	Endoscopic	Detailed_description	Endoscopic retrograde cholangiopancreatography identified strictures in the central portions of the right and left hepatic duct, which was concerning for cholangiocarcinoma (Figure 1).
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25139918	introduced	not_mentioned	confirmed	patient has Immunohistochemical stains	Immunohistochemical stains	Diagnostic_procedure	Immunohistochemical stains showed increased Ki-67 reactivity as well as strong Bcl-1 (cyclin D1) reactivity, which support the diagnosis of parathyroid carcinoma (figure 3).
ambiguous	no_clear_transition_cue	28151882	no_change	improving	improving	patient has 1 week after	1 week after	Date	Kyphotic Cobb angle for preoperative, 1 week after operation, and 1 year after operation were 40°, 8°, and 17°, respectively, which demonstrated significant improvement (Fig.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	28250304	introduced	not_mentioned	confirmed	patient has bone	bone	Biological_structure	A 44-year-old man had been diagnosed with LCNEC of the thymus with bone metastasis at a different hospital 3 years previously.
good	evidence_contains_treated_cue;treatment_cue_present	18416479	treated	not_mentioned	treated	patient has thrombocytopenia	thrombocytopenia	Sign_symptom	Before the deterioration of thrombocytopenia, the patient had no infectious diseases and received no other medication.
